,name,lon,lat,point
100,100,61.247854999999994,35.42970560000002,POINT (61.247854999999994 35.42970560000002)
101,101,61.247854999999994,35.67970560000002,POINT (61.247854999999994 35.67970560000002)
102,102,61.247854999999994,35.92970560000002,POINT (61.247854999999994 35.92970560000002)
103,103,61.247854999999994,36.17970560000002,POINT (61.247854999999994 36.17970560000002)
104,104,61.247854999999994,36.42970560000002,POINT (61.247854999999994 36.42970560000002)
105,105,61.247854999999994,36.67970560000002,POINT (61.247854999999994 36.67970560000002)
106,106,61.247854999999994,36.92970560000002,POINT (61.247854999999994 36.92970560000002)
107,107,61.247854999999994,37.17970560000002,POINT (61.247854999999994 37.17970560000002)
108,108,61.497854999999994,23.929705600000023,POINT (61.497854999999994 23.929705600000023)
109,109,61.497854999999994,24.179705600000023,POINT (61.497854999999994 24.179705600000023)
110,110,61.497854999999994,24.429705600000023,POINT (61.497854999999994 24.429705600000023)
111,111,61.497854999999994,24.679705600000023,POINT (61.497854999999994 24.679705600000023)
112,112,61.497854999999994,24.929705600000023,POINT (61.497854999999994 24.929705600000023)
113,113,61.497854999999994,25.179705600000023,POINT (61.497854999999994 25.179705600000023)
114,114,61.497854999999994,25.429705600000023,POINT (61.497854999999994 25.429705600000023)
115,115,61.497854999999994,25.679705600000023,POINT (61.497854999999994 25.679705600000023)
116,116,61.497854999999994,25.929705600000023,POINT (61.497854999999994 25.929705600000023)
117,117,61.497854999999994,26.179705600000023,POINT (61.497854999999994 26.179705600000023)
118,118,61.497854999999994,26.429705600000023,POINT (61.497854999999994 26.429705600000023)
119,119,61.497854999999994,26.679705600000023,POINT (61.497854999999994 26.679705600000023)
120,120,61.497854999999994,26.929705600000023,POINT (61.497854999999994 26.929705600000023)
121,121,61.497854999999994,27.179705600000023,POINT (61.497854999999994 27.179705600000023)
122,122,61.497854999999994,27.429705600000023,POINT (61.497854999999994 27.429705600000023)
123,123,61.497854999999994,27.679705600000023,POINT (61.497854999999994 27.679705600000023)
124,124,61.497854999999994,27.929705600000023,POINT (61.497854999999994 27.929705600000023)
125,125,61.497854999999994,28.179705600000023,POINT (61.497854999999994 28.179705600000023)
126,126,61.497854999999994,28.429705600000023,POINT (61.497854999999994 28.429705600000023)
127,127,61.497854999999994,28.679705600000023,POINT (61.497854999999994 28.679705600000023)
128,128,61.497854999999994,28.929705600000023,POINT (61.497854999999994 28.929705600000023)
129,129,61.497854999999994,29.179705600000023,POINT (61.497854999999994 29.179705600000023)
130,130,61.497854999999994,29.429705600000023,POINT (61.497854999999994 29.429705600000023)
131,131,61.497854999999994,29.679705600000023,POINT (61.497854999999994 29.679705600000023)
132,132,61.497854999999994,29.929705600000023,POINT (61.497854999999994 29.929705600000023)
133,133,61.497854999999994,30.179705600000023,POINT (61.497854999999994 30.179705600000023)
134,134,61.497854999999994,30.429705600000023,POINT (61.497854999999994 30.429705600000023)
135,135,61.497854999999994,30.679705600000023,POINT (61.497854999999994 30.679705600000023)
136,136,61.497854999999994,30.929705600000023,POINT (61.497854999999994 30.929705600000023)
137,137,61.497854999999994,31.179705600000023,POINT (61.497854999999994 31.179705600000023)
138,138,61.497854999999994,31.429705600000023,POINT (61.497854999999994 31.429705600000023)
139,139,61.497854999999994,31.679705600000023,POINT (61.497854999999994 31.679705600000023)
140,140,61.497855,31.92970560000002,POINT (61.497855 31.92970560000002)
141,141,61.497854999999994,32.17970560000002,POINT (61.497854999999994 32.17970560000002)
142,142,61.497854999999994,32.42970560000002,POINT (61.497854999999994 32.42970560000002)
143,143,61.497854999999994,32.67970560000002,POINT (61.497854999999994 32.67970560000002)
144,144,61.497854999999994,32.92970560000002,POINT (61.497854999999994 32.92970560000002)
145,145,61.497854999999994,33.17970560000002,POINT (61.497854999999994 33.17970560000002)
146,146,61.497854999999994,33.42970560000002,POINT (61.497854999999994 33.42970560000002)
147,147,61.497854999999994,33.67970560000002,POINT (61.497854999999994 33.67970560000002)
148,148,61.497854999999994,33.92970560000002,POINT (61.497854999999994 33.92970560000002)
149,149,61.497854999999994,34.17970560000002,POINT (61.497854999999994 34.17970560000002)
150,150,61.497854999999994,34.42970560000002,POINT (61.497854999999994 34.42970560000002)
151,151,61.497854999999994,34.67970560000002,POINT (61.497854999999994 34.67970560000002)
152,152,61.497854999999994,34.92970560000002,POINT (61.497854999999994 34.92970560000002)
153,153,61.497854999999994,35.17970560000002,POINT (61.497854999999994 35.17970560000002)
154,154,61.497854999999994,35.42970560000002,POINT (61.497854999999994 35.42970560000002)
155,155,61.497854999999994,35.67970560000002,POINT (61.497854999999994 35.67970560000002)
156,156,61.497854999999994,35.92970560000002,POINT (61.497854999999994 35.92970560000002)
157,157,61.497854999999994,36.17970560000002,POINT (61.497854999999994 36.17970560000002)
158,158,61.497854999999994,36.42970560000002,POINT (61.497854999999994 36.42970560000002)
159,159,61.497854999999994,36.67970560000002,POINT (61.497854999999994 36.67970560000002)
160,160,61.497854999999994,36.92970560000002,POINT (61.497854999999994 36.92970560000002)
161,161,61.497854999999994,37.17970560000002,POINT (61.497854999999994 37.17970560000002)
162,162,61.747854999999994,23.929705600000023,POINT (61.747854999999994 23.929705600000023)
163,163,61.747854999999994,24.179705600000023,POINT (61.747854999999994 24.179705600000023)
164,164,61.747854999999994,24.429705600000023,POINT (61.747854999999994 24.429705600000023)
165,165,61.747854999999994,24.679705600000023,POINT (61.747854999999994 24.679705600000023)
166,166,61.747854999999994,24.929705600000023,POINT (61.747854999999994 24.929705600000023)
167,167,61.747854999999994,25.179705600000023,POINT (61.747854999999994 25.179705600000023)
168,168,61.747854999999994,25.429705600000023,POINT (61.747854999999994 25.429705600000023)
169,169,61.747854999999994,25.679705600000023,POINT (61.747854999999994 25.679705600000023)
170,170,61.747854999999994,25.929705600000023,POINT (61.747854999999994 25.929705600000023)
171,171,61.747854999999994,26.179705600000023,POINT (61.747854999999994 26.179705600000023)
172,172,61.747854999999994,26.429705600000023,POINT (61.747854999999994 26.429705600000023)
173,173,61.747854999999994,26.679705600000023,POINT (61.747854999999994 26.679705600000023)
174,174,61.747854999999994,26.929705600000023,POINT (61.747854999999994 26.929705600000023)
175,175,61.747854999999994,27.179705600000023,POINT (61.747854999999994 27.179705600000023)
176,176,61.747854999999994,27.429705600000023,POINT (61.747854999999994 27.429705600000023)
177,177,61.747854999999994,27.679705600000023,POINT (61.747854999999994 27.679705600000023)
178,178,61.747854999999994,27.929705600000023,POINT (61.747854999999994 27.929705600000023)
179,179,61.747854999999994,28.179705600000023,POINT (61.747854999999994 28.179705600000023)
180,180,61.747854999999994,28.429705600000023,POINT (61.747854999999994 28.429705600000023)
181,181,61.747854999999994,28.679705600000023,POINT (61.747854999999994 28.679705600000023)
182,182,61.747854999999994,28.929705600000023,POINT (61.747854999999994 28.929705600000023)
183,183,61.747854999999994,29.179705600000023,POINT (61.747854999999994 29.179705600000023)
184,184,61.747854999999994,29.429705600000023,POINT (61.747854999999994 29.429705600000023)
185,185,61.747854999999994,29.679705600000023,POINT (61.747854999999994 29.679705600000023)
186,186,61.747854999999994,29.929705600000023,POINT (61.747854999999994 29.929705600000023)
187,187,61.747854999999994,30.179705600000023,POINT (61.747854999999994 30.179705600000023)
188,188,61.747854999999994,30.429705600000023,POINT (61.747854999999994 30.429705600000023)
189,189,61.747854999999994,30.679705600000023,POINT (61.747854999999994 30.679705600000023)
